CODGEO;LIBGEO;DEP N°;Région;Zone avant révision 2024;Reclassements juillet 2024
13114;Ventabren;13;Provence-Alpes-Côte d'Azur;B1;A
13115;Vernègues;13;Provence-Alpes-Côte d'Azur;B2;B1
14076;Blainville-sur-Orne;14;Normandie;B2;B1
14079;Blonville-sur-Mer;14;Normandie;B2;A
14086;Bonneville-sur-Touques;14;Normandie;B2;B1
14225;Dives-sur-Mer;14;Normandie;B2;B1
14228;Douvres-la-Délivrande;14;Normandie;B2;B1
14238;Englesqueville-en-Auge;14;Normandie;C;B1
14301;Giberville;14;Normandie;B2;B1
14325;Hermanville-sur-Mer;14;Normandie;B2;B1
14384;Luc-sur-Mer;14;Normandie;B2;B1
14409;Merville-Franceville-Plage;14;Normandie;B2;B1
14514;Pont-l'Évêque;14;Normandie;B2;B1
14557;Saint-Arnoult;14;Normandie;B2;B1
14562;Saint-Aubin-sur-Mer;14;Normandie;B2;B1
14699;Touques;14;Normandie;B2;B1
14701;Tourgéville;14;Normandie;B2;A
16015;Angoulême;16;Nouvelle-Aquitaine;B2;B1
17003;Aigrefeuille-d'Aunis;17;Nouvelle-Aquitaine;C;B1
17140;Dolus-d'Oléron;17;Nouvelle-Aquitaine;B2;B1
17200;Lagord;17;Nouvelle-Aquitaine;B1;A
17369;Saint-Martin-de-Ré;17;Nouvelle-Aquitaine;B1;A
17407;Sainte-Soulle;17;Nouvelle-Aquitaine;B2;B1
17414;Saint-Xandre;17;Nouvelle-Aquitaine;B2;B1
19031;Brive-la-Gaillarde;19;Nouvelle-Aquitaine;B2;B1
19123;Malemort;19;Nouvelle-Aquitaine;B2;B1
19229;Saint-Pantaléon-de-Larche;19;Nouvelle-Aquitaine;B2;B1
19274;Ussac;19;Nouvelle-Aquitaine;B2;B1
21003;Ahuy;21;Bourgogne-Franche-Comté;B2;B1
22093;Lamballe-Armor;22;Bretagne;C;B1
22094;Lancieux;22;Bretagne;B2;B1
22278;Saint-Brieuc;22;Bretagne;B2;B1
22325;Saint-Quay-Portrieux;22;Bretagne;C;B1
25157;La Cluse-et-Mijoux;25;Bourgogne-Franche-Comté;C;B1
25254;Les Fourgs;25;Bourgogne-Franche-Comté;C;B1
25307;Les Hôpitaux-Neufs;25;Bourgogne-Franche-Comté;C;B1
25308;Les Hôpitaux-Vieux;25;Bourgogne-Franche-Comté;C;B1
25318;Jougne;25;Bourgogne-Franche-Comté;C;B1
25320;Labergement-Sainte-Marie;25;Bourgogne-Franche-Comté;C;B1
25321;Villers-le-Lac;25;Bourgogne-Franche-Comté;C;B1
25361;Malbuisson;25;Bourgogne-Franche-Comté;C;B1
25380;Métabief;25;Bourgogne-Franche-Comté;B2;B1
25405;Montperreux;25;Bourgogne-Franche-Comté;C;B1
25411;Morteau;25;Bourgogne-Franche-Comté;B2;B1
25514;Saint-Antoine;25;Bourgogne-Franche-Comté;C;B1
25565;Touillon-et-Loutelet;25;Bourgogne-Franche-Comté;C;B1
25578;Valdahon;25;Bourgogne-Franche-Comté;C;B1
26088;Chatuzange-le-Goubet;26;Auvergne-Rhône-Alpes;B2;B1
26252;Portes-lès-Valence;26;Auvergne-Rhône-Alpes;B2;B1
26313;Saint-Marcel-lès-Valence;26;Auvergne-Rhône-Alpes;B2;B1
28185;Goussainville;28;Centre-Val de Loire;B2;B1
28227;Maintenon;28;Centre-Val de Loire;B2;B1
29006;Bénodet;29;Bretagne;B2;B1
29031;Clohars-Carnoët;29;Bretagne;C;B1
29057;La Forêt-Fouesnant;29;Bretagne;B2;B1
29061;Gouesnou;29;Bretagne;B2;B1
29190;Plougonvelin;29;Bretagne;C;B1
2A048;Calcatoggio;2A;Corse;B2;B1
2A060;Cannelle;2A;Corse;B2;B1
2A062;Carbuccia;2A;Corse;B2;B1
2A098;Coti-Chiavari;2A;Corse;B2;B1
2A104;Eccica-Suarella;2A;Corse;B2;B1
2A130;Grosseto-Prugna;2A;Corse;B1;A
2A144;Lopigna;2A;Corse;B2;B1
2A228;Pietrosella;2A;Corse;B1;A
2A249;Propriano;2A;Corse;B1;A
2A271;Sarrola-Carcopino;2A;Corse;B1;A
2A276;Serra-di-Ferro;2A;Corse;B2;B1
2A295;Sant'Andréa-d'Orcino;2A;Corse;B2;B1
2A345;Vero;2A;Corse;B2;B1
2A362;Zonza;2A;Corse;B2;B1
2B096;Corte;2B;Corse;B2;B1
2B109;Farinole;2B;Corse;B2;B1
2B123;Ghisonaccia;2B;Corse;B2;B1
2B134;L'Île-Rousse;2B;Corse;B1;A
2B136;Lama;2B;Corse;B2;B1
2B184;Olcani;2B;Corse;B2;B1
2B185;Oletta;2B;Corse;B2;B1
2B224;Pietracorbara;2B;Corse;B2;B1
2B251;Prunelli-di-Fiumorbo;2B;Corse;B2;B1
2B298;Saint-Florent;2B;Corse;B2;B1
2B313;San-Nicolao;2B;Corse;B2;B1
30034;Bellegarde;30;Occitanie;B2;B1
30141;Laudun-l'Ardoise;30;Occitanie;B2;B1
30276;Saint-Laurent-d'Aigouze;30;Occitanie;B2;B1
30321;Sommières;30;Occitanie;C;B1
31069;Blagnac;31;Occitanie;B1;A
31149;Colomiers;31;Occitanie;B1;A
31254;Labège;31;Occitanie;B1;A
31561;L'Union;31;Occitanie;B1;A
32160;L'Isle-Jourdain;32;Occitanie;C;B1
33023;Ayguemorte-les-Graves;33;Nouvelle-Aquitaine;C;B1
33029;Le Barp;33;Nouvelle-Aquitaine;C;B1
33042;Belin-Béliet;33;Nouvelle-Aquitaine;C;B1
33097;Carcans;33;Nouvelle-Aquitaine;C;B1
33140;Créon;33;Nouvelle-Aquitaine;C;B1
33203;Hourtin;33;Nouvelle-Aquitaine;C;B1
33206;Isle-Saint-Georges;33;Nouvelle-Aquitaine;C;B1
33213;La Brède;33;Nouvelle-Aquitaine;C;B1
33229;Lanton;33;Nouvelle-Aquitaine;B2;B1
33238;Léognan;33;Nouvelle-Aquitaine;B1;A
33256;Ludon-Médoc;33;Nouvelle-Aquitaine;C;B1
33284;Mios;33;Nouvelle-Aquitaine;C;B1
33318;Pessac;33;Nouvelle-Aquitaine;B1;A
33333;Le Porge;33;Nouvelle-Aquitaine;C;A
33366;Saint-André-de-Cubzac;33;Nouvelle-Aquitaine;B2;B1
33454;Saint-Morillon;33;Nouvelle-Aquitaine;C;B1
33498;Salles;33;Nouvelle-Aquitaine;C;B1
33501;Saucats;33;Nouvelle-Aquitaine;C;B1
33529;La Teste-de-Buch;33;Nouvelle-Aquitaine;B1;A
33540;Vendays-Montalivet;33;Nouvelle-Aquitaine;C;B1
33555;Marcheprime;33;Nouvelle-Aquitaine;B2;B1
34022;Baillargues;34;Occitanie;B1;A
34039;Bouzigues;34;Occitanie;B2;B1
34050;Candillargues;34;Occitanie;B2;B1
34082;Combaillaux;34;Occitanie;C;B1
34118;Guzargues;34;Occitanie;C;B1
34153;Les Matelles;34;Occitanie;C;B1
34176;Mudaison;34;Occitanie;B2;B1
34179;Murviel-lès-Montpellier;34;Occitanie;C;B1
34213;Poussan;34;Occitanie;B2;B1
34314;Le Triadou;34;Occitanie;C;B1
34320;Vailhauquès;34;Occitanie;C;B1
34329;Vendres;34;Occitanie;B2;B1
35049;Cancale;35;Bretagne;B2;B1
35069;Châteaugiron;35;Bretagne;C;B1
35173;Melesse;35;Bretagne;C;B1
35177;La Mézière;35;Bretagne;C;B1
35207;Noyal-sur-Vilaine;35;Bretagne;B2;B1
35228;Pleurtuit;35;Bretagne;B2;B1
35238;Rennes;35;Bretagne;B1;A
35256;Saint-Briac-sur-Mer;35;Bretagne;B2;B1
35287;Saint-Lunaire;35;Bretagne;B2;B1
35299;Saint-Méloir-des-Ondes;35;Bretagne;B2;B1
35360;Vitré;35;Bretagne;C;B1
37159;Monts;37;Centre-Val de Loire;B2;B1
38002;Les Adrets;38;Auvergne-Rhône-Alpes;C;B1
38011;Anthon;38;Auvergne-Rhône-Alpes;C;B1
38059;Brié-et-Angonnes;38;Auvergne-Rhône-Alpes;C;B1
38067;Chamagnieu;38;Auvergne-Rhône-Alpes;C;B1
38109;Chozeau;38;Auvergne-Rhône-Alpes;C;B1
38110;Chuzelles;38;Auvergne-Rhône-Alpes;C;B1
38111;Claix;38;Auvergne-Rhône-Alpes;B1;A
38140;Crolles;38;Auvergne-Rhône-Alpes;B1;A
38144;Diémoz;38;Auvergne-Rhône-Alpes;C;B1
38176;Frontonas;38;Auvergne-Rhône-Alpes;C;B1
38179;Gières;38;Auvergne-Rhône-Alpes;B1;A
38181;Goncelin;38;Auvergne-Rhône-Alpes;C;B1
38184;Grenay;38;Auvergne-Rhône-Alpes;C;B1
38188;Herbeys;38;Auvergne-Rhône-Alpes;C;B1
38189;Heyrieux;38;Auvergne-Rhône-Alpes;C;B1
38197;Janneyrias;38;Auvergne-Rhône-Alpes;C;B1
38205;Lans-en-Vercors;38;Auvergne-Rhône-Alpes;C;B1
38214;Lumbin;38;Auvergne-Rhône-Alpes;C;B1
38215;Luzinay;38;Auvergne-Rhône-Alpes;C;B1
38249;Montbonnot-Saint-Martin;38;Auvergne-Rhône-Alpes;B1;A
38314;Pontcharra;38;Auvergne-Rhône-Alpes;B2;B1
38397;Saint-Ismier;38;Auvergne-Rhône-Alpes;B1;A
38408;Saint-Just-Chaleyssin;38;Auvergne-Rhône-Alpes;C;B1
38422;Saint-Martin-d'Uriage;38;Auvergne-Rhône-Alpes;B1;A
38433;Saint-Nizier-du-Moucherotte;38;Auvergne-Rhône-Alpes;C;B1
38471;Le Sappey-en-Chartreuse;38;Auvergne-Rhône-Alpes;C;B1
38475;Satolas-et-Bonce;38;Auvergne-Rhône-Alpes;B2;B1
38486;Seyssins;38;Auvergne-Rhône-Alpes;B1;A
38487;Seyssuel;38;Auvergne-Rhône-Alpes;B2;B1
38501;Tencin;38;Auvergne-Rhône-Alpes;C;B1
38503;La Terrasse;38;Auvergne-Rhône-Alpes;C;B1
38516;La Tronche;38;Auvergne-Rhône-Alpes;B1;A
38519;Valencin;38;Auvergne-Rhône-Alpes;C;B1
38528;Vaulnaveys-le-Bas;38;Auvergne-Rhône-Alpes;C;B1
38557;Villette-d'Anthon;38;Auvergne-Rhône-Alpes;C;B1
38558;Villette-de-Vienne;38;Auvergne-Rhône-Alpes;C;B1
39470;Les Rousses;39;Bourgogne-Franche-Comté;B2;B1
40021;Azur;40;Nouvelle-Aquitaine;C;B1
40108;Gastes;40;Nouvelle-Aquitaine;C;B1
40150;Léon;40;Nouvelle-Aquitaine;C;B1
40157;Lit-et-Mixe;40;Nouvelle-Aquitaine;C;B1
40181;Messanges;40;Nouvelle-Aquitaine;C;B1
40187;Moliets-et-Maa;40;Nouvelle-Aquitaine;C;B1
40217;Parentis-en-Born;40;Nouvelle-Aquitaine;C;B1
40261;Saint-Geours-de-Maremne;40;Nouvelle-Aquitaine;C;B1
40266;Saint-Julien-en-Born;40;Nouvelle-Aquitaine;C;B1
40287;Sanguinet;40;Nouvelle-Aquitaine;B2;B1
40326;Vielle-Saint-Girons;40;Nouvelle-Aquitaine;C;B1
40328;Vieux-Boucau-les-Bains;40;Nouvelle-Aquitaine;C;B1
42275;Saint-Priest-en-Jarez;42;Auvergne-Rhône-Alpes;B2;B1
42305;La Talaudière;42;Auvergne-Rhône-Alpes;B2;B1
44029;Divatte-sur-Loire;44;Pays de la Loire;C;B1
44041;La Chevrolière;44;Pays de la Loire;C;B1
44043;Clisson;44;Pays de la Loire;B2;B1
44064;Gorges;44;Pays de la Loire;C;B1
44066;Grandchamp-des-Fontaines;44;Pays de la Loire;B2;B1
44070;La Haie-Fouassière;44;Pays de la Loire;B2;B1
44084;Le Loroux-Bottereau;44;Pays de la Loire;C;B1
44097;Mesquer;44;Pays de la Loire;B2;B1
44109;Nantes;44;Pays de la Loire;B1;A
44125;Piriac-sur-Mer;44;Pays de la Loire;B2;B1
44126;La Plaine-sur-Mer;44;Pays de la Loire;B2;B1
44136;Préfailles;44;Pays de la Loire;B2;B1
44158;Saint-Étienne-de-Montluc;44;Pays de la Loire;C;B1
44169;Saint-Julien-de-Concelles;44;Pays de la Loire;C;B1
44179;Saint-Mars-du-Désert;44;Pays de la Loire;B2;B1
44186;Sainte-Pazanne;44;Pays de la Loire;C;B1
44187;Saint-Père-en-Retz;44;Pays de la Loire;C;B1
44188;Saint-Philbert-de-Grand-Lieu;44;Pays de la Loire;C;B1
44195;Savenay;44;Pays de la Loire;B2;B1
44201;Sucé-sur-Erdre;44;Pays de la Loire;B2;B1
44209;Treillières;44;Pays de la Loire;B2;B1
44212;Vallet;44;Pays de la Loire;C;B1
44217;Vigneux-de-Bretagne;44;Pays de la Loire;B2;B1
49020;Beaucouzé;49;Pays de la Loire;B2;B1
49035;Bouchemaine;49;Pays de la Loire;B2;B1
49129;Écouflant;49;Pays de la Loire;B2;B1
49214;Montreuil-Juigné;49;Pays de la Loire;B2;B1
49223;Mûrs-Erigné;49;Pays de la Loire;B2;B1
49267;Saint-Barthélemy-d'Anjou;49;Pays de la Loire;B2;B1
49278;Sainte-Gemmes-sur-Loire;49;Pays de la Loire;B2;B1
49323;Verrières-en-Anjou;49;Pays de la Loire;B2;B1
50165;Donville-les-Bains;50;Normandie;B2;B1
50532;Saint-Pair-sur-Mer;50;Normandie;B2;B1
51662;Witry-lès-Reims;51;Grand Est;B2;B1
53034;Bonchamp-lès-Laval;53;Pays de la Loire;B2;B1
53054;Changé;53;Pays de la Loire;B2;B1
53119;L'Huisserie;53;Pays de la Loire;B2;B1
53130;Laval;53;Pays de la Loire;B2;B1
53140;Louverné;53;Pays de la Loire;B2;B1
53201;Saint-Berthevin;53;Pays de la Loire;B2;B1
56003;Arradon;56;Bretagne;B2;B1
56008;Baden;56;Bretagne;B2;B1
56013;Belz;56;Bretagne;C;B1
56023;Brech;56;Bretagne;B2;B1
56046;Crach;56;Bretagne;B2;B1
56052;Damgan;56;Bretagne;C;B1
56054;Erdeven;56;Bretagne;C;B1
56055;Étel;56;Bretagne;C;B1
56069;Groix;56;Bretagne;B2;B1
56086;Île-d'Houat;56;Bretagne;B2;B1
56094;Kervignac;56;Bretagne;C;B1
56116;Locmariaquer;56;Bretagne;B2;B1
56118;Locmiquélic;56;Bretagne;B2;B1
56155;Pénestin;56;Bretagne;B2;B1
56158;Plescop;56;Bretagne;B2;B1
56164;Ploeren;56;Bretagne;B2;B1
56168;Plouharnel;56;Bretagne;B2;B1
56169;Plouhinec;56;Bretagne;C;B1
56176;Pluneret;56;Bretagne;B2;B1
56181;Port-Louis;56;Bretagne;B2;B1
56193;Riantec;56;Bretagne;B2;B1
56214;Saint-Gildas-de-Rhuys;56;Bretagne;B2;B1
56233;Saint-Philibert;56;Bretagne;B2;B1
56234;Saint-Pierre-Quiberon;56;Bretagne;B2;B1
56248;Surzur;56;Bretagne;B2;B1
56251;Theix-Noyalo;56;Bretagne;B2;B1
56258;La Trinité-sur-Mer;56;Bretagne;B2;B1
57038;Audun-le-Tiche;57;Grand Est;B2;B1
57049;Le Ban-Saint-Martin;57;Grand Est;B2;B1
57203;Évrange;57;Grand Est;C;B1
57269;Guénange;57;Grand Est;B2;B1
57282;Hagen;57;Grand Est;C;B1
57283;Hagondange;57;Grand Est;B2;B1
57323;Hettange-Grande;57;Grand Est;B2;B1
