CODGEO;LIBGEO;DEP N°;Région;Zone avant révision 2024;Reclassements juillet 2024
68286;Rosenau;68;Grand Est;B2;B1
68287;Rouffach;68;Grand Est;B2;B1
68300;Sausheim;68;Grand Est;B2;B1
68309;Sierentz;68;Grand Est;B2;B1
68338;Turckheim;68;Grand Est;B2;B1
68349;Village-Neuf;68;Grand Est;B2;B1
68362;Wentzwiller;68;Grand Est;C;B1
68374;Wintzenheim;68;Grand Est;B2;B1
68375;Wittelsheim;68;Grand Est;B2;B1
69040;Champagne-au-Mont-d'Or;69;Auvergne-Rhône-Alpes;B1;A
69043;Chaponost;69;Auvergne-Rhône-Alpes;B1;A
69044;Charbonnières-les-Bains;69;Auvergne-Rhône-Alpes;B1;A
69064;Condrieu;69;Auvergne-Rhône-Alpes;B2;B1
69069;Craponne;69;Auvergne-Rhône-Alpes;B1;A
69072;Dardilly;69;Auvergne-Rhône-Alpes;B1;A
69143;Neuville-sur-Saône;69;Auvergne-Rhône-Alpes;B1;A
69154;Pollionnay;69;Auvergne-Rhône-Alpes;C;B1
69191;Saint-Cyr-au-Mont-d'Or;69;Auvergne-Rhône-Alpes;B1;A
69194;Saint-Didier-au-Mont-d'Or;69;Auvergne-Rhône-Alpes;B1;A
69219;Saint-Laurent-d'Agny;69;Auvergne-Rhône-Alpes;C;B1
69250;La Tour-de-Salvagny;69;Auvergne-Rhône-Alpes;B1;A
69271;Chassieu;69;Auvergne-Rhône-Alpes;B1;A
69279;Jonage;69;Auvergne-Rhône-Alpes;B1;A
69282;Meyzieu;69;Auvergne-Rhône-Alpes;B1;A
69285;Pusignan;69;Auvergne-Rhône-Alpes;C;B1
69288;Saint-Laurent-de-Mure;69;Auvergne-Rhône-Alpes;B1;A
69292;Sathonay-Camp;69;Auvergne-Rhône-Alpes;B1;A
69299;Colombier-Saugnieu;69;Auvergne-Rhône-Alpes;C;B1
73006;Aime-la-Plagne;73;Auvergne-Rhône-Alpes;C;B1
73010;Entrelacs;73;Auvergne-Rhône-Alpes;B2;B1
73024;Les Avanchers-Valmorel;73;Auvergne-Rhône-Alpes;C;B1
73031;Bassens;73;Auvergne-Rhône-Alpes;B1;A
73034;Beaufort;73;Auvergne-Rhône-Alpes;C;B1
73043;La Biolle;73;Auvergne-Rhône-Alpes;C;B1
73051;Le Bourget-du-Lac;73;Auvergne-Rhône-Alpes;B1;A
73057;Brides-les-Bains;73;Auvergne-Rhône-Alpes;B1;A
73064;Challes-les-Eaux;73;Auvergne-Rhône-Alpes;B1;A
73091;Conjux;73;Auvergne-Rhône-Alpes;C;B1
73114;Flumet;73;Auvergne-Rhône-Alpes;C;B1
73116;Fontcouverte-la-Toussuire;73;Auvergne-Rhône-Alpes;C;B1
73123;La Giettaz;73;Auvergne-Rhône-Alpes;C;B1
73128;Grésy-sur-Aix;73;Auvergne-Rhône-Alpes;B1;A
73132;Hauteluce;73;Auvergne-Rhône-Alpes;C;B1
73137;Jacob-Bellecombette;73;Auvergne-Rhône-Alpes;B1;A
73171;Montmélian;73;Auvergne-Rhône-Alpes;B2;B1
73176;Montvalezan;73;Auvergne-Rhône-Alpes;C;B1
73213;La Ravoire;73;Auvergne-Rhône-Alpes;B1;A
73222;Saint-Alban-Leysse;73;Auvergne-Rhône-Alpes;B1;A
73235;Saint François Longchamp;73;Auvergne-Rhône-Alpes;C;B1
73265;Saint-Ours;73;Auvergne-Rhône-Alpes;C;B1
73301;Trévignin;73;Auvergne-Rhône-Alpes;B2;B1
73307;Valmeinier;73;Auvergne-Rhône-Alpes;C;B1
74001;Abondance;74;Auvergne-Rhône-Alpes;C;B1
74005;Allinges;74;Auvergne-Rhône-Alpes;B1;A
74009;Andilly;74;Auvergne-Rhône-Alpes;B1;A
74019;Argonay;74;Auvergne-Rhône-Alpes;B1;A
74026;La Balme-de-Sillingy;74;Auvergne-Rhône-Alpes;B1;A
74027;La Balme-de-Thuy;74;Auvergne-Rhône-Alpes;C;B1
74036;Bluffy;74;Auvergne-Rhône-Alpes;B2;A
74037;Boëge;74;Auvergne-Rhône-Alpes;B2;B1
74043;Bons-en-Chablais;74;Auvergne-Rhône-Alpes;B1;A
74046;Boussy;74;Auvergne-Rhône-Alpes;C;B1
74048;Brenthonne;74;Auvergne-Rhône-Alpes;B2;B1
74049;Brizon;74;Auvergne-Rhône-Alpes;B2;B1
74050;Burdignin;74;Auvergne-Rhône-Alpes;B2;B1
74053;Cervens;74;Auvergne-Rhône-Alpes;B2;B1
74054;Chainaz-les-Frasses;74;Auvergne-Rhône-Alpes;B2;B1
74056;Chamonix-Mont-Blanc;74;Auvergne-Rhône-Alpes;A;Abis
74057;Champanges;74;Auvergne-Rhône-Alpes;B2;B1
74061;Chapeiry;74;Auvergne-Rhône-Alpes;B2;B1
74065;Chaumont;74;Auvergne-Rhône-Alpes;B2;B1
74066;Chavannaz;74;Auvergne-Rhône-Alpes;B2;B1
74068;Chêne-en-Semine;74;Auvergne-Rhône-Alpes;C;B1
74069;Chênex;74;Auvergne-Rhône-Alpes;B1;A
74070;Chens-sur-Léman;74;Auvergne-Rhône-Alpes;B1;A
74071;Chessenaz;74;Auvergne-Rhône-Alpes;C;B1
74073;Chevenoz;74;Auvergne-Rhône-Alpes;B2;B1
74075;Chilly;74;Auvergne-Rhône-Alpes;B2;B1
74077;Clarafond-Arcine;74;Auvergne-Rhône-Alpes;B2;B1
74082;Collonges-sous-Salève;74;Auvergne-Rhône-Alpes;A;Abis
74083;Combloux;74;Auvergne-Rhône-Alpes;B1;A
74085;Les Contamines-Montjoie;74;Auvergne-Rhône-Alpes;C;B1
74086;Contamine-Sarzin;74;Auvergne-Rhône-Alpes;B2;B1
74091;La Côte-d'Arbroz;74;Auvergne-Rhône-Alpes;C;B1
74095;Crempigny-Bonneguête;74;Auvergne-Rhône-Alpes;C;B1
74100;Desingy;74;Auvergne-Rhône-Alpes;C;B1
74101;Dingy-en-Vuache;74;Auvergne-Rhône-Alpes;B1;A
74104;Doussard;74;Auvergne-Rhône-Alpes;B1;A
74105;Douvaine;74;Auvergne-Rhône-Alpes;B1;A
74106;Draillant;74;Auvergne-Rhône-Alpes;B2;B1
74108;Duingt;74;Auvergne-Rhône-Alpes;B2;A
74109;Éloise;74;Auvergne-Rhône-Alpes;B2;B1
74111;Entrevernes;74;Auvergne-Rhône-Alpes;B2;A
74112;Epagny Metz-Tessy;74;Auvergne-Rhône-Alpes;B1;A
74114;Essert-Romand;74;Auvergne-Rhône-Alpes;C;B1
74117;Étercy;74;Auvergne-Rhône-Alpes;B2;B1
74121;Excenevex;74;Auvergne-Rhône-Alpes;B1;A
74123;Faverges-Seythenex;74;Auvergne-Rhône-Alpes;C;B1
74126;Fessy;74;Auvergne-Rhône-Alpes;B2;B1
74127;Féternes;74;Auvergne-Rhône-Alpes;B2;B1
74129;La Forclaz;74;Auvergne-Rhône-Alpes;B2;B1
74131;Frangy;74;Auvergne-Rhône-Alpes;C;B1
74137;Groisy;74;Auvergne-Rhône-Alpes;B1;A
74141;Hauteville-sur-Fier;74;Auvergne-Rhône-Alpes;B2;B1
74142;Héry-sur-Alby;74;Auvergne-Rhône-Alpes;B2;B1
74143;Les Houches;74;Auvergne-Rhône-Alpes;B1;A
74147;Lathuile;74;Auvergne-Rhône-Alpes;B2;B1
74151;Lornay;74;Auvergne-Rhône-Alpes;C;B1
74154;Lugrin;74;Auvergne-Rhône-Alpes;B2;B1
74156;Lully;74;Auvergne-Rhône-Alpes;B2;B1
74157;Lyaud;74;Auvergne-Rhône-Alpes;B2;B1
74161;Marcellaz-Albanais;74;Auvergne-Rhône-Alpes;B2;B1
74165;Marigny-Saint-Marcel;74;Auvergne-Rhône-Alpes;C;B1
74168;Marlioz;74;Auvergne-Rhône-Alpes;B2;B1
74171;Massongy;74;Auvergne-Rhône-Alpes;B1;A
74172;Maxilly-sur-Léman;74;Auvergne-Rhône-Alpes;B2;B1
74174;Mégevette;74;Auvergne-Rhône-Alpes;B2;B1
74175;Meillerie;74;Auvergne-Rhône-Alpes;B2;B1
74176;Menthon-Saint-Bernard;74;Auvergne-Rhône-Alpes;B1;A
74177;Menthonnex-en-Bornes;74;Auvergne-Rhône-Alpes;B1;A
74178;Menthonnex-sous-Clermont;74;Auvergne-Rhône-Alpes;B2;B1
74179;Mésigny;74;Auvergne-Rhône-Alpes;B2;B1
74180;Messery;74;Auvergne-Rhône-Alpes;B1;A
74183;Mieussy;74;Auvergne-Rhône-Alpes;C;B1
74184;Minzier;74;Auvergne-Rhône-Alpes;B2;B1
74188;Montriond;74;Auvergne-Rhône-Alpes;C;B1
74190;Morillon;74;Auvergne-Rhône-Alpes;C;A
74194;Mûres;74;Auvergne-Rhône-Alpes;B2;B1
74195;Musièges;74;Auvergne-Rhône-Alpes;C;B1
74198;Nâves-Parmelan;74;Auvergne-Rhône-Alpes;B2;B1
74199;Nernier;74;Auvergne-Rhône-Alpes;B1;A
74200;Neuvecelle;74;Auvergne-Rhône-Alpes;B1;A
74202;Nonglard;74;Auvergne-Rhône-Alpes;B2;B1
74203;Novel;74;Auvergne-Rhône-Alpes;C;B1
74206;Orcier;74;Auvergne-Rhône-Alpes;B2;B1
74209;Peillonnex;74;Auvergne-Rhône-Alpes;B2;B1
74210;Perrignier;74;Auvergne-Rhône-Alpes;B2;B1
74212;Glières-Val-de-Borne;74;Auvergne-Rhône-Alpes;C;B1
74213;Poisy;74;Auvergne-Rhône-Alpes;B1;A
74215;Praz-sur-Arly;74;Auvergne-Rhône-Alpes;B1;A
74218;Publier;74;Auvergne-Rhône-Alpes;B1;A
74223;La Rivière-Enverse;74;Auvergne-Rhône-Alpes;B2;B1
74226;Saint-André-de-Boëge;74;Auvergne-Rhône-Alpes;B2;B1
74228;Saint-Blaise;74;Auvergne-Rhône-Alpes;B1;A
74231;Saint-Eusèbe;74;Auvergne-Rhône-Alpes;B2;B1
74236;Saint-Gervais-les-Bains;74;Auvergne-Rhône-Alpes;B1;A
74237;Saint-Gingolph;74;Auvergne-Rhône-Alpes;B2;B1
74238;Saint-Jean-d'Aulps;74;Auvergne-Rhône-Alpes;C;B1
74240;Saint-Jean-de-Tholome;74;Auvergne-Rhône-Alpes;B2;B1
74241;Saint-Jeoire;74;Auvergne-Rhône-Alpes;C;B1
74242;Saint-Jorioz;74;Auvergne-Rhône-Alpes;B1;A
74243;Saint-Julien-en-Genevois;74;Auvergne-Rhône-Alpes;A;Abis
74249;Saint-Paul-en-Chablais;74;Auvergne-Rhône-Alpes;B2;B1
74250;Saint-Pierre-en-Faucigny;74;Auvergne-Rhône-Alpes;B1;A
74252;Saint-Sigismond;74;Auvergne-Rhône-Alpes;B2;B1
74254;Saint-Sylvestre;74;Auvergne-Rhône-Alpes;B2;B1
74255;Sales;74;Auvergne-Rhône-Alpes;C;B1
74257;Sallenôves;74;Auvergne-Rhône-Alpes;B2;B1
74259;Le Sappey;74;Auvergne-Rhône-Alpes;B1;A
74261;Saxel;74;Auvergne-Rhône-Alpes;B2;B1
74263;Sciez;74;Auvergne-Rhône-Alpes;B1;A
74266;Servoz;74;Auvergne-Rhône-Alpes;B2;B1
74267;Sevrier;74;Auvergne-Rhône-Alpes;B1;A
74272;Sillingy;74;Auvergne-Rhône-Alpes;B1;A
74275;Talloires-Montmin;74;Auvergne-Rhône-Alpes;B1;A
74276;Taninges;74;Auvergne-Rhône-Alpes;C;A
74279;Thollon-les-Mémises;74;Auvergne-Rhône-Alpes;B2;B1
74280;Thônes;74;Auvergne-Rhône-Alpes;B1;A
74282;Fillière;74;Auvergne-Rhône-Alpes;B1;A
74283;Thusy;74;Auvergne-Rhône-Alpes;B2;B1
74284;La Tour;74;Auvergne-Rhône-Alpes;B2;B1
74285;Usinens;74;Auvergne-Rhône-Alpes;C;B1
74289;Vallières-sur-Fier;74;Auvergne-Rhône-Alpes;C;B1
74291;Vanzy;74;Auvergne-Rhône-Alpes;C;B1
74292;Vaulx;74;Auvergne-Rhône-Alpes;B2;B1
74294;Verchaix;74;Auvergne-Rhône-Alpes;C;B1
74295;La Vernaz;74;Auvergne-Rhône-Alpes;B2;B1
74297;Versonnex;74;Auvergne-Rhône-Alpes;C;B1
74301;Villard;74;Auvergne-Rhône-Alpes;B2;B1
74302;Les Villards-sur-Thônes;74;Auvergne-Rhône-Alpes;B2;B1
74304;Ville-en-Sallaz;74;Auvergne-Rhône-Alpes;B2;B1
74306;Villy-le-Bouveret;74;Auvergne-Rhône-Alpes;B1;A
74308;Vinzier;74;Auvergne-Rhône-Alpes;B2;B1
74310;Viuz-la-Chiésaz;74;Auvergne-Rhône-Alpes;B2;B1
74311;Viuz-en-Sallaz;74;Auvergne-Rhône-Alpes;B2;A
74313;Vovray-en-Bornes;74;Auvergne-Rhône-Alpes;B1;A
74315;Yvoire;74;Auvergne-Rhône-Alpes;B1;A
77006;Arbonne-la-Forêt;77;Île-de-France;B2;B1
77029;Beauvoir;77;Île-de-France;B2;B1
77037;Bois-le-Roi;77;Île-de-France;B1;A
77047;Bouleurs;77;Île-de-France;B2;B1
77048;Bourron-Marlotte;77;Île-de-France;B2;B1
77049;Boutigny;77;Île-de-France;B2;B1
77088;La Chapelle-la-Reine;77;Île-de-France;B2;B1
77091;Les Chapelles-Bourbon;77;Île-de-France;B2;B1
77094;Charmentray;77;Île-de-France;B2;B1
77100;Le Châtelet-en-Brie;77;Île-de-France;B2;B1
77104;Châtres;77;Île-de-France;B2;B1
77107;Chaumes-en-Brie;77;Île-de-France;B2;B1
77123;Compans;77;Île-de-France;B2;B1
77127;Coubert;77;Île-de-France;B2;B1
77130;Coulommes;77;Île-de-France;B2;B1
77136;Courquetaine;77;Île-de-France;B2;B1
77144;Crèvecœur-en-Brie;77;Île-de-France;B2;B1
77175;Évry-Grégy-sur-Yerre;77;Île-de-France;B2;B1
77177;Favières;77;Île-de-France;B2;B1
77179;Féricy;77;Île-de-France;B2;B1
77192;Fontenay-Trésigny;77;Île-de-France;B2;B1
77214;Gressy;77;Île-de-France;B2;B1
77217;Grisy-Suisnes;77;Île-de-France;B2;B1
77229;La Houssaye-en-Brie;77;Île-de-France;B2;B1
77234;Jablines;77;Île-de-France;B2;B1
77248;Lesches;77;Île-de-France;B2;B1
77252;Limoges-Fourches;77;Île-de-France;B2;B1
77253;Lissy;77;Île-de-France;B2;B1
77254;Liverdy-en-Brie;77;Île-de-France;B2;B1
77269;Maincy;77;Île-de-France;B2;B1
77277;Marles-en-Brie;77;Île-de-France;B2;B1
77282;Mauregard;77;Île-de-France;B2;B1
77291;Le Mesnil-Amelot;77;Île-de-France;B2;B1
77292;Messy;77;Île-de-France;B2;B1
77312;Montigny-sur-Loing;77;Île-de-France;B2;B1
77317;Mormant;77;Île-de-France;B2;B1
77318;Mortcerf;77;Île-de-France;B2;B1
77323;Moussy-le-Vieux;77;Île-de-France;B2;B1
77336;Neufmoutiers-en-Brie;77;Île-de-France;B2;B1
77352;Ozouer-le-Voulgis;77;Île-de-France;B2;B1
77374;Pontcarré;77;Île-de-France;B1;A
77376;Précy-sur-Marne;77;Île-de-France;B2;B1
77377;Presles-en-Brie;77;Île-de-France;B2;B1
77386;Recloses;77;Île-de-France;B2;B1
77408;Saint-Fiacre;77;Île-de-France;B2;B1
77420;Saint-Mard;77;Île-de-France;B2;B1
77430;Saint-Pathus;77;Île-de-France;B2;B1
77453;Sivry-Courtry;77;Île-de-France;B2;B1
77462;Thieux;77;Île-de-France;B2;B1
77466;Tigeaux;77;Île-de-France;B2;B1
77474;Trilbardou;77;Île-de-France;B2;B1
77498;Vignely;77;Île-de-France;B2;B1
77508;Villeneuve-le-Comte;77;Île-de-France;B2;B1
77510;Villeneuve-Saint-Denis;77;Île-de-France;B2;B1
77511;Villeneuve-sous-Dammartin;77;Île-de-France;B2;B1
78006;Adainville;78;Île-de-France;B2;B1
78007;Aigremont;78;Île-de-France;B1;Abis
78013;Andelu;78;Île-de-France;B2;B1
78020;Arnouville-lès-Mantes;78;Île-de-France;B2;B1
78034;Auteuil;78;Île-de-France;B2;B1
78036;Autouillet;78;Île-de-France;B2;B1
78043;Bailly;78;Île-de-France;B1;Abis
78048;Bazainville;78;Île-de-France;B2;B1
78053;Béhoust;78;Île-de-France;B2;B1
78062;Beynes;78;Île-de-France;B1;A
78070;Boinville-en-Mantois;78;Île-de-France;B2;B1
78084;Boissy-sans-Avoir;78;Île-de-France;B2;B1
78087;Bonnelles;78;Île-de-France;B2;B1
78092;Bougival;78;Île-de-France;A;Abis
78096;Bourdonné;78;Île-de-France;B2;B1
78108;Les Bréviaires;78;Île-de-France;B2;B1
78117;Buc;78;Île-de-France;A;Abis
78120;Bullion;78;Île-de-France;B2;B1
78124;Carrières-sur-Seine;78;Île-de-France;A;Abis
78125;La Celle-les-Bordes;78;Île-de-France;B2;B1
78126;La Celle-Saint-Cloud;78;Île-de-France;A;Abis
78133;Chambourcy;78;Île-de-France;A;Abis
78143;Châteaufort;78;Île-de-France;B1;A
78152;Chavenay;78;Île-de-France;B1;A
78164;Clairefontaine-en-Yvelines;78;Île-de-France;B2;B1
78171;Condé-sur-Vesgre;78;Île-de-France;B2;B1
78194;Dannemarie;78;Île-de-France;B2;B1
78220;Les Essarts-le-Roi;78;Île-de-France;B1;A
78224;L'Étang-la-Ville;78;Île-de-France;A;Abis
78233;Feucherolles;78;Île-de-France;B1;A
78236;Flexanville;78;Île-de-France;B2;B1
78262;Galluis;78;Île-de-France;B2;B1
78263;Gambais;78;Île-de-France;B2;B1
78264;Gambaiseuil;78;Île-de-France;B2;B1
78265;Garancières;78;Île-de-France;B2;B1
78278;Goupillières;78;Île-de-France;B2;B1
78281;Goussonville;78;Île-de-France;B2;B1
78283;Grandchamp;78;Île-de-France;B2;B1
78285;Gressey;78;Île-de-France;B2;B1
78289;Grosrouvre;78;Île-de-France;B2;B1
78300;Hargeville;78;Île-de-France;B2;B1
78305;Herbeville;78;Île-de-France;B2;B1
78310;Houdan;78;Île-de-France;B1;A
78311;Houilles;78;Île-de-France;A;Abis
78322;Jouy-en-Josas;78;Île-de-France;A;Abis
78325;Jumeauville;78;Île-de-France;B2;B1
78349;Longvilliers;78;Île-de-France;B2;B1
78350;Louveciennes;78;Île-de-France;A;Abis
78364;Marcq;78;Île-de-France;B2;B1
78367;Mareil-Marly;78;Île-de-France;A;Abis
78368;Mareil-sur-Mauldre;78;Île-de-France;B2;B1
78380;Maule;78;Île-de-France;B1;A
78381;Maulette;78;Île-de-France;B2;B1
78396;Le Mesnil-le-Roi;78;Île-de-France;A;Abis
78398;Les Mesnuls;78;Île-de-France;B1;A
78404;Millemont;78;Île-de-France;B2;B1
78406;Milon-la-Chapelle;78;Île-de-France;B1;A
78415;Montainville;78;Île-de-France;B2;B1
78420;Montfort-l'Amaury;78;Île-de-France;B1;A
78455;Noisy-le-Roi;78;Île-de-France;B1;Abis
78465;Orgerus;78;Île-de-France;B2;B1
78475;Osmoy;78;Île-de-France;B2;B1
78486;Le Perray-en-Yvelines;78;Île-de-France;B1;A
78505;Prunay-le-Temple;78;Île-de-France;B2;B1
78513;La Queue-les-Yvelines;78;Île-de-France;B2;B1
78518;Rennemoulin;78;Île-de-France;B1;Abis
78520;Richebourg;78;Île-de-France;B2;B1
78522;Rochefort-en-Yvelines;78;Île-de-France;B2;B1
78530;Rosay;78;Île-de-France;B2;B1
78537;Saint-Arnoult-en-Yvelines;78;Île-de-France;B2;B1
78561;Saint-Lambert;78;Île-de-France;B1;A
78565;Saint-Martin-des-Champs;78;Île-de-France;B2;B1
78571;Saint-Nom-la-Bretèche;78;Île-de-France;B1;A
78591;Septeuil;78;Île-de-France;B2;B1
78605;Tacoignières;78;Île-de-France;B2;B1
78616;Thoiry;78;Île-de-France;B2;B1
78620;Toussus-le-Noble;78;Île-de-France;B1;A
78655;Vieille-Église-en-Yvelines;78;Île-de-France;B2;A
78677;Villette;78;Île-de-France;B2;B1
78681;Villiers-le-Mahieu;78;Île-de-France;B2;B1
81271;Saint-Sulpice-la-Pointe;81;Occitanie;C;B1
83032;Carcès;83;Provence-Alpes-Côte d'Azur;C;B1
83046;Cotignac;83;Provence-Alpes-Côte d'Azur;C;B1
83055;Fayence;83;Provence-Alpes-Côte d'Azur;B1;A
83064;Garéoult;83;Provence-Alpes-Côte d'Azur;B2;B1
83065;Gassin;83;Provence-Alpes-Côte d'Azur;A;Abis
83081;Montauroux;83;Provence-Alpes-Côte d'Azur;B1;A
83089;Ollières;83;Provence-Alpes-Côte d'Azur;C;B1
83092;Pignans;83;Provence-Alpes-Côte d'Azur;B2;B1
83093;Plan-d'Aups-Sainte-Baume;83;Provence-Alpes-Côte d'Azur;B2;B1
83094;Le Plan-de-la-Tour;83;Provence-Alpes-Côte d'Azur;B1;A
83096;Pourcieux;83;Provence-Alpes-Côte d'Azur;C;B1
83100;Puget-Ville;83;Provence-Alpes-Côte d'Azur;B2;B1
83101;Ramatuelle;83;Provence-Alpes-Côte d'Azur;A;Abis
83106;Rocbaron;83;Provence-Alpes-Côte d'Azur;B2;B1
83110;Rougiers;83;Provence-Alpes-Côte d'Azur;C;B1
83117;Saint-Paul-en-Forêt;83;Provence-Alpes-Côte d'Azur;B2;B1
83124;Seillans;83;Provence-Alpes-Côte d'Azur;C;B1
83125;Seillons-Source-d'Argens;83;Provence-Alpes-Côte d'Azur;C;B1
83140;Tourves;83;Provence-Alpes-Côte d'Azur;C;B1
83150;Vinon-sur-Verdon;83;Provence-Alpes-Côte d'Azur;B2;B1
84065;Lauris;84;Provence-Alpes-Côte d'Azur;C;B1
84124;Saumane-de-Vaucluse;84;Provence-Alpes-Côte d'Azur;B2;B1
84139;Fontaine-de-Vaucluse;84;Provence-Alpes-Côte d'Azur;C;B1
85001;L'Aiguillon-la-Presqu'île;85;Pays de la Loire;C;B1
85012;La Barre-de-Monts;85;Pays de la Loire;B2;B1
85114;Jard-sur-Mer;85;Pays de la Loire;B2;B1
85127;Longeville-sur-Mer;85;Pays de la Loire;C;B1
85164;Notre-Dame-de-Monts;85;Pays de la Loire;B2;B1
85191;La Roche-sur-Yon;85;Pays de la Loire;B2;B1
85278;Saint-Vincent-sur-Jard;85;Pays de la Loire;B2;B1
91017;Angervilliers;91;Île-de-France;B2;B1
91064;Bièvres;91;Île-de-France;A;Abis
91100;Bouville;91;Île-de-France;B2;B1
91148;Chauffour-lès-Étréchy;91;Île-de-France;B2;B1
91180;Courances;91;Île-de-France;B2;B1
91195;Dannemois;91;Île-de-France;B2;B1
91359;Maisse;91;Île-de-France;B2;B1
91376;Marolles-en-Hurepoix;91;Île-de-France;B1;A
91405;Milly-la-Forêt;91;Île-de-France;B2;B1
91408;Moigny-sur-École;91;Île-de-France;B2;B1
91412;Mondeville;91;Île-de-France;B2;B1
91463;Oncy-sur-École;91;Île-de-France;B2;B1
91473;Orveau;91;Île-de-France;B2;B1
91508;Puiselet-le-Marais;91;Île-de-France;B2;B1
91546;Saint-Cyr-sous-Dourdan;91;Île-de-France;B2;B1
91629;Valpuiseaux;91;Île-de-France;B2;B1
91630;Le Val-Saint-Germain;91;Île-de-France;B2;B1
91635;Vauhallan;91;Île-de-France;A;Abis
91645;Verrières-le-Buisson;91;Île-de-France;A;Abis
91654;Videlles;91;Île-de-France;B2;B1
92036;Gennevilliers;92;Île-de-France;A;Abis
92078;Villeneuve-la-Garenne;92;Île-de-France;A;Abis
93063;Romainville;93;Île-de-France;A;Abis
94002;Alfortville;94;Île-de-France;A;Abis
95023;Arronville;95;Île-de-France;B2;B1
95040;Avernes;95;Île-de-France;B2;B1
95055;Bellefontaine;95;Île-de-France;B2;B1
95056;Belloy-en-France;95;Île-de-France;B2;B1
95144;Châtenay-en-France;95;Île-de-France;B2;B1
95169;Commeny;95;Île-de-France;B2;B1
95177;Cormeilles-en-Vexin;95;Île-de-France;B2;B1
95214;Épinay-Champlâtreux;95;Île-de-France;B2;B1
95254;Frémécourt;95;Île-de-France;B2;B1
95316;Jagny-sous-Bois;95;Île-de-France;B2;B1
95331;Lassy;95;Île-de-France;B2;B1
95355;Magny-en-Vexin;95;Île-de-France;B2;B1
95365;Mareil-en-France;95;Île-de-France;B2;B1
95387;Menouville;95;Île-de-France;B2;B1
95483;Le Perchay;95;Île-de-France;B2;B1
95493;Le Plessis-Luzarches;95;Île-de-France;B2;B1
95566;Saint-Martin-du-Tertre;95;Île-de-France;B2;B1
95584;Santeuil;95;Île-de-France;B2;B1
95610;Théméricourt;95;Île-de-France;B2;B1
95611;Theuville;95;Île-de-France;B2;B1
95625;Us;95;Île-de-France;B2;B1
95658;Vigny;95;Île-de-France;B2;B1
95660;Villaines-sous-Bois;95;Île-de-France;B2;B1
95682;Villiers-le-Sec;95;Île-de-France;B2;B1
97202;Les Anses-d'Arlet;972;Martinique;B1;A
97206;Le Diamant;972;Martinique;B1;A
