CODGEO;LIBGEO;DEP N°;Région;Zone avant révision 2025;Reclassements 5 septembre 2025
17411;Saint-Trojan-les-Bains;17;Nouvelle-Aquitaine;B2;B1
17421;Saujon;17;Nouvelle-Aquitaine;B2;B1
17485;Le Grand-Village-Plage;17;Nouvelle-Aquitaine;B2;B1
17486;La Brée-les-Bains;17;Nouvelle-Aquitaine;B2;B1
21105;Bressey-sur-Tille;21;Bourgogne-Franche-Comté;B2;B1
21106;Bretenière;21;Bourgogne-Franche-Comté;B2;B1
21192;Corcelles-les-Monts;21;Bourgogne-Franche-Comté;C;B1
21263;Fénay;21;Bourgogne-Franche-Comté;B2;B1
21270;Flavignerot;21;Bourgogne-Franche-Comté;C;B1
21315;Hauteville-lès-Dijon;21;Bourgogne-Franche-Comté;B2;B1
21370;Magny-sur-Tille;21;Bourgogne-Franche-Comté;B2;B1
22016;Île-de-Bréhat;22;Bretagne;B2;B1
22054;Erquy;22;Bretagne;C;B2
22055;Binic-Étables-sur-Mer;22;Bretagne;C;B1
22106;Langueux;22;Bretagne;B2;B1
22118;Lanvallay;22;Bretagne;C;B1
22213;Plouër-sur-Rance;22;Bretagne;C;B2
22360;Trégueux;22;Bretagne;B2;B1
25201;Dommartin;25;Bourgogne-Franche-Comté;B2;B1
25204;Doubs;25;Bourgogne-Franche-Comté;B2;B1
25240;Les Fins;25;Bourgogne-Franche-Comté;C;B1
25271;Gilley;25;Bourgogne-Franche-Comté;C;B1
25285;Grand'Combe-Châteleu;25;Bourgogne-Franche-Comté;C;B1
25309;Houtaud;25;Bourgogne-Franche-Comté;B2;B1
25403;Montlebon;25;Bourgogne-Franche-Comté;C;B1
25413;Mouthe;25;Bourgogne-Franche-Comté;C;B1
26198;Montélimar;26;Auvergne-Rhône-Alpes;B2;B1
27022;Le Val d'Hazey;27;Normandie;B2;B1
28015;Auneau-Bleury-Saint-Symphorien;28;Centre-Val de Loire;B2;B1
28235;Marchezais;28;Centre-Val de Loire;B2;B1
28278;Nogent-le-Phaye;28;Centre-Val de Loire;C;B2
29011;Bohars;29;Bretagne;B2;B1
29020;Briec;29;Bretagne;C;B2
29069;Guilers;29;Bretagne;B2;B1
29082;Île-de-Batz;29;Bretagne;B2;B1
29083;Île-de-Sein;29;Bretagne;B2;B1
29084;Île-Molène;29;Bretagne;B2;B1
29155;Ouessant;29;Bretagne;B2;B1
29174;Plonéour-Lanvern;29;Bretagne;C;B2
29233;Quimperlé;29;Bretagne;C;B2
29260;Saint-Renan;29;Bretagne;C;B1
2A008;Albitreccia;2A;Corse;B1;A
2A032;Bastelicaccia;2A;Corse;B1;A
2A065;Cargèse;2A;Corse;B2;B1
2A070;Casaglione;2A;Corse;B2;B1
2A090;Coggia;2A;Corse;B2;B1
2A212;Piana;2A;Corse;B2;B1
2A348;Vico;2A;Corse;B2;B1
30061;La Calmette;30;Occitanie;C;B2
30091;Congénies;30;Occitanie;C;B1
30103;Domazan;30;Occitanie;C;B2
30107;Estézargues;30;Occitanie;C;B2
30135;Jonquières-Saint-Vincent;30;Occitanie;C;B2
30136;Junas;30;Occitanie;C;B1
30221;Roquemaure;30;Occitanie;C;B1
30241;Saint-Chaptes;30;Occitanie;C;B2
30245;Saint-Côme-et-Maruéjols;30;Occitanie;C;B2
30260;Saint-Hilaire-d'Ozilhan;30;Occitanie;C;B2
30278;Saint-Laurent-des-Arbres;30;Occitanie;C;B2
30302;Saint-Victor-la-Coste;30;Occitanie;C;B2
30312;Sauveterre;30;Occitanie;C;B1
30317;Sernhac;30;Occitanie;C;B2
30326;Tavel;30;Occitanie;C;B2
30336;Vallabrègues;30;Occitanie;C;B2
31003;Aigrefeuille;31;Occitanie;C;B2
31033;Auterive;31;Occitanie;C;B1
31049;Bazus;31;Occitanie;C;B1
31079;Bouloc;31;Occitanie;C;B1
31107;Carbonne;31;Occitanie;C;B1
31118;Castelnau-d'Estrétefonds;31;Occitanie;B2;B1
31148;Clermont-le-Fort;31;Occitanie;C;B1
31151;Corronsac;31;Occitanie;C;B1
31162;Donneville;31;Occitanie;C;B1
31163;Drémil-Lafage;31;Occitanie;C;B1
31184;Flourens;31;Occitanie;C;B1
31192;Fourquevaux;31;Occitanie;C;B1
31202;Fronton;31;Occitanie;C;B1
31212;Garidech;31;Occitanie;C;B1
31215;Gauré;31;Occitanie;C;B1
31216;Gémil;31;Occitanie;C;B1
31227;Goyrans;31;Occitanie;C;B1
31232;Grenade;31;Occitanie;C;B1
31341;Merville;31;Occitanie;C;B1
31352;Mondouzil;31;Occitanie;C;B1
31355;Mons;31;Occitanie;C;B1
31381;Montgiscard;31;Occitanie;C;B1
31384;Montlaur;31;Occitanie;C;B1
31448;Rebigue;31;Occitanie;C;B1
31480;Sainte-Foy-d'Aigrefeuille;31;Occitanie;C;B1
31499;Saint-Lys;31;Occitanie;C;B2
31584;Villemur-sur-Tarn;31;Occitanie;C;B1
33138;Coutras;33;Nouvelle-Aquitaine;C;B1
33363;Sadirac;33;Nouvelle-Aquitaine;C;B2
33527;Le Teich;33;Nouvelle-Aquitaine;B1;A
34012;Argelliers;34;Occitanie;C;B2
34027;Beaulieu;34;Occitanie;C;B1
34031;Bessan;34;Occitanie;C;B1
34043;Buzignargues;34;Occitanie;C;B2
34101;Florensac;34;Occitanie;C;B1
34114;Gignac;34;Occitanie;C;B1
34127;Lansargues;34;Occitanie;B2;B1
34162;Montagnac;34;Occitanie;C;B1
34163;Montarnaud;34;Occitanie;C;B1
34164;Montaud;34;Occitanie;C;B2
34177;Murles;34;Occitanie;C;B1
34227;Restinclières;34;Occitanie;C;B1
34239;Saint-André-de-Sangonis;34;Occitanie;C;B1
34241;Saint-Bauzille-de-la-Sylve;34;Occitanie;C;B2
34246;Entre-Vignes;34;Occitanie;C;B2
34249;Saint-Drézéry;34;Occitanie;C;B1
34282;Saint-Paul-et-Valmalle;34;Occitanie;C;B1
34288;Saint-Sériès;34;Occitanie;C;B2
34294;Saturargues;34;Occitanie;C;B2
34296;Saussines;34;Occitanie;C;B2
34300;Servian;34;Occitanie;C;B2
34321;Valergues;34;Occitanie;B2;B1
34341;Villeveyrac;34;Occitanie;C;B1
35068;Châteaubourg;35;Bretagne;C;B2
35099;Domloup;35;Bretagne;C;B2
35152;Liffré;35;Bretagne;C;B1
35184;Montauban-de-Bretagne;35;Bretagne;C;B2
35188;Montfort-sur-Meu;35;Bretagne;C;B2
35284;Saint-Jouan-des-Guérets;35;Bretagne;B2;B1
37015;Azay-sur-Cher;37;Centre-Val de Loire;C;B2
37104;Esvres;37;Centre-Val de Loire;C;B1
37123;Langeais;37;Centre-Val de Loire;C;B2
38006;Allevard;38;Auvergne-Rhône-Alpes;C;B1
38052;Le Bourg-d'Oisans;38;Auvergne-Rhône-Alpes;C;B1
38130;La Côte-Saint-André;38;Auvergne-Rhône-Alpes;C;B2
38138;Crémieu;38;Auvergne-Rhône-Alpes;C;B2
38157;Estrablin;38;Auvergne-Rhône-Alpes;C;B2
38158;Eybens;38;Auvergne-Rhône-Alpes;B1;A
38185;Grenoble;38;Auvergne-Rhône-Alpes;B1;A
38191;Huez;38;Auvergne-Rhône-Alpes;B1;A
38225;Autrans-Méaudre en Vercors;38;Auvergne-Rhône-Alpes;C;B1
38318;Pont-Évêque;38;Auvergne-Rhône-Alpes;B2;B1
38382;Saint-Égrève;38;Auvergne-Rhône-Alpes;B1;A
38399;Saint-Jean-de-Bournay;38;Auvergne-Rhône-Alpes;C;B1
38554;Villemoirieu;38;Auvergne-Rhône-Alpes;C;B1
39275;Lamoura;39;Bourgogne-Franche-Comté;C;B2
39441;Prémanon;39;Bourgogne-Franche-Comté;B2;B1
39487;Saint-Laurent-en-Grandvaux;39;Bourgogne-Franche-Comté;C;B1
40129;Josse;40;Nouvelle-Aquitaine;C;B2
40168;Magescq;40;Nouvelle-Aquitaine;C;B2
40264;Saint-Jean-de-Marsacq;40;Nouvelle-Aquitaine;C;B2
40292;Saubrigues;40;Nouvelle-Aquitaine;C;B2
40293;Saubusse;40;Nouvelle-Aquitaine;C;B2
41106;Lamotte-Beuvron;41;Centre-Val de Loire;C;B2
41269;Vendôme;41;Centre-Val de Loire;C;B2
44002;Aigrefeuille-sur-Maine;44;Pays de la Loire;C;B2
44005;Chaumes-en-Retz;44;Pays de la Loire;C;B1
44014;Le Bignon;44;Pays de la Loire;C;B1
44015;Blain;44;Pays de la Loire;C;B2
44037;Château-Thébaud;44;Pays de la Loire;C;B1
44045;Cordemais;44;Pays de la Loire;C;B2
44046;Corsept;44;Pays de la Loire;C;B2
44072;Herbignac;44;Pays de la Loire;B2;B1
44073;Héric;44;Pays de la Loire;C;B1
44082;Ligné;44;Pays de la Loire;C;B2
44087;Machecoul-Saint-Même;44;Pays de la Loire;C;B1
44088;Maisdon-sur-Sèvre;44;Pays de la Loire;C;B2
44089;Malville;44;Pays de la Loire;C;B2
44110;Nort-sur-Erdre;44;Pays de la Loire;B2;B1
44117;Le Pallet;44;Pays de la Loire;C;B2
44129;Pontchâteau;44;Pays de la Loire;B2;B1
44145;Rouans;44;Pays de la Loire;C;B2
